city,property_name,location,builder,price_lakhs,BHK,property_type
Hyderabad,Indis Viva City,"3 BHK Flat in Kondapur, Hyderabad",Parijatha Homes,56.98,3.0,Apartment
Hyderabad,Aparna Sarovar Zicon,"3 BHK Flat in Nallagandla, Hyderabad",Unknown,45.22,2.0,Apartment
Hyderabad,"Injapur, Hyderabad","Residential land / Plot in Injapur, Hyderabad",Unknown,64.6,3.0,Apartment
Hyderabad,shritha ortus,"3 BHK Independent Builder Floor in Hi Tech City, Hyderabad",Vasavi Group,,2.0,Apartment
Hyderabad,Shritha ortus,"3 BHK Independent Builder Floor in Hi Tech City, Hyderabad",Anuhar Homes,,3.0,Apartment
Hyderabad,Shritha ortus,"3 BHK Independent Builder Floor in Hi Tech City, Hyderabad",Lalitha Construction,,4.0,Apartment
Hyderabad,Vibha,"3 BHK Flat in Tellapur, Hyderabad",Unknown,108.0,2.0,Apartment
Hyderabad,"Ameenpur Village, Aminpur, Hyderabad","Residential land / Plot in Ameenpur Village, Aminpur",Unknown,151.0,3.0,Apartment
Hyderabad,"Balaji Nagar,Badangpet, Hyderabad","Residential land / Plot in Balaji Nagar,Badangpet, Hyderabad",Unknown,67.8,2.0,Apartment
Hyderabad,New Plots,"Residential land / Plot in Maheshwaram, Hyderabad",Unknown,86.73,3.0,Apartment
Hyderabad,"Mucherla, Hyderabad","Residential land / Plot in Mucherla, Hyderabad",Greater Infra,76.5,2.0,Apartment
Hyderabad,Rajapushpa Serene Dale,"4 Bedroom House in Tellapur, Hyderabad",Unknown,120.0,3.0,Apartment
Hyderabad,"Peddapur, Hyderabad","Residential land / Plot in Peddapur, Hyderabad",J Group,76.2,,Land
Hyderabad,Vasavi White Lotus,"Residential land / Plot in Shad nagar, Hyderabad",Harika Constructions,72.33,2.0,Apartment
Hyderabad,Tulip Farms,"Residential land / Plot in Kandukur, Hyderabad",Unknown,96.8,3.0,Apartment
Hyderabad,"Chevella, Hyderabad","Residential land / Plot in Chevella, Hyderabad",Bricks Infratech,102.0,2.0,Apartment
Hyderabad,"Ghatkesar, Hyderabad","Residential land / Plot in Ghatkesar, Hyderabad",Unknown,160.0,3.0,Apartment
Hyderabad,Greenrich Highlands,"Residential land / Plot in Tukkuguda, Hyderabad",Unknown,200.99999999999997,4.0,Apartment
Hyderabad,SSB ENCLAVE 2 Turkayamjal,"2 BHK Flat in TurkaYamjal, Hyderabad",Praneeth Group,200.0,3.0,Villa
Hyderabad,"Chevella, Hyderabad","Residential land / Plot in Chevella, Hyderabad",Unknown,271.0,4.0,Villa
Hyderabad,"Sanjeeva Reddy Nagar, Old Mumbai Highway, Hyderabad","4 Bedroom House in Sanjeeva Reddy Nagar, Old Mumbai Highway",Abode Developers,70.68,2.0,Apartment
Hyderabad,DSR The Classe,"4 BHK Flat in Kokapet, Hyderabad",Essen Infra,76.56,2.0,Apartment
Hyderabad,Hallmark Treasor,"3 BHK Flat in Kokapet, Hyderabad",Unknown,91.35,3.0,Apartment
Bangalore,Mathapathi Grand Field,"Varthur, Bangalore",Mathapathi Constructions,160.0,2.0,Apartment
Bangalore,Platinum East Woods,"Whitefield, Bangalore",Platinum Narya Infra,190.0,3.0,Apartment
Bangalore,Sumadhura Capitol Residences,"Whitefield, Bangalore",Sumadhura Group,112.99999999999999,2.0,Apartment
Bangalore,Prestige Raintree Park,"Whitefield, Bangalore",Prestige Group,181.0,3.0,Apartment
Bangalore,HSK Urban Living,"Electronic City, Bangalore",HSK Developers,214.0,4.0,Apartment
Bangalore,Bren Zahara,"Sarjapur Road, Bangalore",Bren Corporation,327.0,3.0,Apartment
Bangalore,Lodha Mirabelle,"Thanisandra, Bangalore",Lodha,322.0,4.0,Apartment
Bangalore,Udbhav Gokulam,"Varthur, Bangalore",Udbhav Builders and Developers,360.0,3.0,Apartment
Bangalore,Inspira Infinity,"Carmelaram, Sarjapur Road",Inspira Builders Bangalore,450.0,4.0,Apartment
Bangalore,Keya Spring,"Bannerghatta Road, Bangalore",Keya Homes,555.0,5.0,Apartment
Bangalore,Lodha Azur,"Bannerghatta Road, Bangalore",Lodha,91.09,2.0,Apartment
Bangalore,Arvind Bel Air,"Yelahanka, Bangalore",Arvind Smartspaces,98.58,3.0,Apartment
Bangalore,Nambiar District 25,"Sarjapur Road, Bangalore",Nambiar Builders,249.00000000000003,3.0,Apartment
Bangalore,Concorde Antares,"Vidyaranyapura, Bangalore",Concorde,267.0,2.0,Apartment
Bangalore,Assetz Ren and Rei,"Hosa Road, Bangalore",Assetz Property Group,373.0,3.0,Apartment
Bangalore,Countryside Raindance,"Electronics City Phase 1, Bangalore",Countryside Group,459.99999999999994,4.0,Apartment
Bangalore,Brigade El Dorado,"Bagalur, Bangalore",Brigade Group,150.0,3.0,Apartment
Bangalore,DSR Highland Greenz,"Sarjapur Road, Bangalore",DSR Infra Projects Bangalore,127.0,2.0,Apartment
Bangalore,Birla Evara,"Sarjapur Road, Bangalore",Birla Estates,162.0,3.0,Apartment
Bangalore,Godrej Lakeside Orchard,"Sarjapur Road, Bangalore",Godrej Properties,157.0,2.0,Apartment
Bangalore,HM Scottsville,"Sarjapur Road, Bangalore",HM Group,267.0,3.0,Apartment
Bangalore,Prestige Southern Star,"Begur Road, Bangalore",Prestige Group,325.0,4.0,Apartment
Bangalore,Provident Botanico,"Soukya Road, Whitefield, Bangalore",Provident Housing,299.0,3.0,Apartment
Bangalore,Brigade Citrine,"Budigere Cross, Bangalore",Brigade Group,360.0,4.0,Apartment
Bangalore,Shapoorji Pallonji Parkwest,"Binny Pete, Magadi Road",Shapoorji Pallonji,129.0,2.0,Apartment
Bangalore,Ajmera Marina,"Kempanahalli, Near Yelahanka New Town, Bangalore",Ajmera Group,151.0,3.0,Apartment
Bangalore,Purvi Arvindam,"Varthur, Bangalore",Sai Purvi Infrastructure,185.0,2.0,Apartment
Bangalore,DSR The Address,"Sarjapur Road, Bangalore",DSR Infra Projects Bangalore,262.0,3.0,Apartment
Bangalore,Ashish ANR Row House,"Whitefield, Bangalore",Aashish Developer Bangalore,369.0,4.0,Apartment
Bangalore,Brigade Valencia,"Electronic City, Bangalore",Brigade Group,146.0,2.0,Apartment
Bangalore,Sreeyan Square,"Hennur Road, Bangalore",Sreeyan Developers,178.0,3.0,Apartment
Bangalore,Signature Heights,"Electronic City, Bangalore",Signature Dwellings,209.0,4.0,Apartment
Bangalore,SSVR Niyaara,"Varthur, Bangalore",SSVR Builders,183.0,3.0,Apartment
Bangalore,DSR Elixir,"Whitefield, Bangalore",DSR Infra Projects Bangalore,120.0,2.0,Apartment
Bangalore,Brigade Insignia,"Yelahanka, Bangalore",Brigade Group,157.0,3.0,Apartment
Bangalore,Veda Vilasa Villaments,"Kengeri, Bangalore",Sai Samrudhi Constructions,64.93,1.0,Apartment
Bangalore,Mahindra Zen,"Begur, Bangalore",Mahindra Lifespaces,111.00000000000001,2.0,Apartment
Bangalore,Gopalan Florenza,"Banashankari, Bangalore",Gopalan Enterprises,177.0,3.0,Apartment
Bangalore,BRR North Excellency Phase 1,"Thanisandra, Bangalore",BRR Hallmark Developers,,1.0,Apartment
Bangalore,Godrej Ananda,"Bagalur, Bangalore",Godrej Properties,125.0,2.0,Apartment
Bangalore,Mana Cresta,"Chikkanayakanahalli, Near Sarjapur Road, Bangalore",Mana Projects,161.0,3.0,Apartment
Bangalore,Keya Life By The Lake,"Hebbal, Bangalore",Keya Homes,77.99,1.0,Apartment
Bangalore,Keya Around The Life,"Whitefield, Bangalore",Keya Homes,141.0,2.0,Apartment
Bangalore,Mana Skandas The Right Life,"Sarjapur Road, Bangalore",Neo Build Ventures,217.0,3.0,Apartment
Bangalore,Shashank Akshaya,"Kogilu, Near Yelahanka, Bangalore",Shashank Infra Projects,293.0,4.0,Apartment
Bangalore,DSR The Courtyard,"Sarjapur Road, Bangalore",DSR Infra Projects Bangalore,157.0,2.0,Apartment
Bangalore,Futureisone Aiikya Village,"Sarjapur Road, Bangalore",Futureisone,269.0,3.0,Apartment
Bangalore,Nava Vajra,"Horamavu Agara, Bangalore",Nava Jyothi Shelters,329.0,4.0,Apartment
Bangalore,Infinity Greenwoods,"Varthur, Bangalore",Infinity Builders And Constructions,204.0,2.0,Apartment
Bangalore,Godrej Ananda Phase 2,"Bagalur, Bangalore",Godrej Properties,243.00000000000003,3.0,Apartment
Bangalore,Ajmera Marina,"Kempanahalli, Near Yelahanka New Town, Bangalore",Ajmera Group,111.00000000000001,2.0,Apartment
Bangalore,Purvi Arvindam,"Varthur, Bangalore",Sai Purvi Infrastructure,149.0,3.0,Apartment
Bangalore,DSR The Address,"Sarjapur Road, Bangalore",DSR Infra Projects Bangalore,170.0,3.0,Apartment
Bangalore,Ashish ANR Row House,"Whitefield, Bangalore",Aashish Developer Bangalore,161.0,2.0,Apartment
Bangalore,Brigade Valencia,"Electronic City, Bangalore",Brigade Group,204.99999999999997,3.0,Apartment
Bangalore,Sreeyan Square,"Hennur Road, Bangalore",Sreeyan Developers,279.0,4.0,Apartment
Bangalore,Signature Heights,"Electronic City, Bangalore",Signature Dwellings,313.0,4.0,Villa
Bangalore,SSVR Niyaara,"Varthur, Bangalore",SSVR Builders,182.0,2.0,Apartment
Bangalore,DSR Elixir,"Whitefield, Bangalore",DSR Infra Projects Bangalore,212.0,3.0,Apartment
Bangalore,Brigade Insignia,"Yelahanka, Bangalore",Brigade Group,314.0,4.0,Apartment
Bangalore,Veda Vilasa Villaments,"Kengeri, Bangalore",Sai Samrudhi Constructions,70.38,2.0,Apartment
Bangalore,Mahindra Zen,"Begur, Bangalore",Mahindra Lifespaces,91.47,3.0,Apartment
